heb_name_parsed,code,area_id,label,time_notes
מעלה גלבוע,780,4,Ma'aleh Gilboa,One minute
אור עקיבא,34,15,Or Akiva,One and a half minutes
אשדוד,6000,22,Ashdod - Yod Alef,45 Seconds
קבוצת גבע,284,34,Geva,One minute
קבוצת יבנה,1095,22,Kvutzat Yavne,One minute
רתמים,1189,9,Retamim,One and a half minutes
טירת כרמל,485,15,Tirat Carmel,One minute
שבלי,1196,34,Shibli,One minute
מלילות,1318,16,Maagalim,30 Seconds
כפר קאסם,645,27,Kfar Kassem,One and a half minutes
יסעור,525,6,Yasur,One minute
אילון,90,30,Eilon,Immediately
קריית ביאליק,1119,11,Kiryat Biyalik,One minute
נחלים,883,21,Nechalim,One and a half minutes
דפנה,378,30,Dafna,Immediately
ביר אלמכסור,172,23,Bir al-Maksur,One minute
בית סוהר צלמון,1383,23,Tsalmon Detention Center,One minute
תל אביב-יפו,6029,8,Tel Aviv - Across the Yarkon,One and a half minutes
כפר שמואל,651,12,Kfar Shmuel,One and a half minutes
בית אלפא,178,4,Beit Alfa and Heftziba,One minute
קצרין,1116,5,Katzrin,30 Seconds
צור הדסה,1081,24,Tzur Hadassa,One and a half minutes
חמת גדר,459,5,Hamat gader,15 Seconds
כמהין,572,9,Kmehin,One minute
ירקונה,545,27,Yarkona,One and a half minutes
ייט''ב,518,3,Yitav,One and a half minutes
מצפה,798,7,Mitzpeh,One minute
כרמים,667,25,Kramim,One and a half minutes
יקום,536,27,Yakum,One and a half minutes
בית ספר שדה מירון,217,30,Sdeh Meron School,Immediately
נהורה,849,22,Nehora,30 Seconds
ענב,1030,10,Einav,One and a half minutes
קריית נטפים,1126,10,Kiryat Netafim,One and a half minutes
הסוללים,396,34,HaSollelim,One minute
טלמון,491,10,Talmon,One and a half minutes
רהט,1148,25,Rahat,45 Seconds
בית אורן,175,14,Beit Oren,One minute
עין נקובא,1005,24,Ein Naqquba,One and a half minutes
רועי,1154,3,Roee,One and a half minutes
אבירים,11,30,Abirim,Immediately
אום בטין,29,25,Umm Batin,One and a half minutes
בית זית,192,20,Beit Zayit,One and a half minutes
אדמית,21,30,Idmit,Immediately
אזור תעשייה באר טוביה,1359,22,Industrial area Be'er Tovia,45 Seconds
מגל,709,13,Magal,One and a half minutes
כוכב השחר,557,10,Kokhav HaShahar,One and a half minutes
מג'דל כרום,700,6,Majd al-Krum,30 Seconds
כושי רמון,562,29,Kushi Rimon,One and a half minutes
כרם בן שמן,1338,12,Kerem BenShemen,One and a half minutes
רעננה,1185,27,Ra'anana,One and a half minutes
בית חורון,195,10,Beit Horon,One and a half minutes
עין חצבה,998,29,Ein Hatzeva,One and a half minutes
מבוא חורון,692,21,Mevo Horon,One and a half minutes
נירית,914,27,Nirit,One and a half minutes
שדה נחום,1209,4,Sdeh Nachum,One minute
עין גדי,985,18,Ein Gedi,One and a half minutes
שדי תרומות,1217,4,Sdei Trumot,One minute
חד נס,431,5,Had Ness,15 Seconds
אחווה,79,22,Achva,45 Seconds
גבעת זאב,296,20,Givat Ze'ev,One and a half minutes
מגן שאול,711,34,Magen Shaul,One minute
בית יתיר,206,17,Beit Yatir,One and a half minutes
כפר המכבי,598,11,Kfar HaMaccabi,One minute
נווה ירק,865,27,Neveh Yarak,One and a half minutes
דניאל,1382,16,Daniel,45 Seconds
יכיני,519,26,Yakhini,15 Seconds
משמר הנגב,827,25,Mishmar HaNegev,45 Seconds
מרום גולן,808,2,Merom Golan,Immediately
יהל,509,29,Yahel,One and a half minutes
מצוקי דרגות,796,18,Metzokei Dragot,One and a half minutes
מלכיה,752,30,Malkia,Immediately
מסדה,761,5,Masada,30 Seconds
אזור תעשייה בר-לב,46,6,Bar Lev Industrial Zone,One minute
הר אדר,399,24,Har Adar,One and a half minutes
חרות,472,27,Herut,One and a half minutes
אמירים,128,6,Amirim,30 Seconds
שדה יעקב,1206,34,Sdeh Yacov,One minute
מסעדה,765,2,Mas'ade,Immediately
כפר חנניה,613,23,Kfar Hanania,One minute
בקוע,253,24,Beko'a,One and a half minutes
עין מאהל,1004,34,Ein Mahil,One minute
גבעון החדשה,1339,20,Giv'on HaHadasha,One and a half minutes
מועצה אזורית דרום השרון,1350,27,Southern Sharon Regional Council,One and a half minutes
אדירים,1328,34,Hever Settlements,One minute
כפר סאלד,637,30,Kfar Szold,15 Seconds
שומרה,1225,30,Shomera,Immediately
אזור תעשייה קדמת גליל,69,7,Kidmat Galil Industrial Zone,One minute
גיבתון,322,12,Gibton,One and a half minutes
גזר,320,12,Gezer,One and a half minutes
גלאון,329,24,Galon,One minute
אזור תעשייה כרמיאל,56,6,Carmiel Industrial Zone,30 Seconds
כפר זיתים,609,7,Kfar Zeitim,One minute
גבעות עדן,289,24,Giv'ot Eden,One and a half minutes
רנן,1183,16,Renan,30 Seconds
עבדון,955,30,Avdon,Immediately
ינוב,520,27,Yanuv,One and a half minutes
בית נחמיה,209,21,Beit Nechemia,One and a half minutes
טירת יהודה,484,21,Tirat Yehuda,One and a half minutes
ירוחם,542,9,Yeruham,One and a half minutes
תקוע,1304,17,Tko'a,One and a half minutes
עלי,1019,10,Eli,One and a half minutes
לוטן,681,29,Lotan,One and a half minutes
כפר מנדא,630,23,Kfar Manda,One minute
גני מודיעין,1346,21,Ganei Modi'in,One and a half minutes
קלנסווה,1112,27,Qalansawe,One and a half minutes
אלון,104,17,Alon,One and a half minutes
עזריקם,974,22,Azrikam,45 Seconds
אחיטוב,84,27,Ahituv,One and a half minutes
משהד,820,34,Mashhad,One minute
אל עזי,99,22,Al Azi,45 Seconds
סמר,947,29,Samar,3 minutes
אבן מנחם,13,30,Even Menachem,Immediately
שגב שלום,1197,25,Segev Shalom,One and a half minutes
מצדה,794,18,Massada,One and a half minutes
יד מרדכי,505,26,Yad Mordechai,15 Seconds
רבדים,1143,22,Revadim,One minute
מרחצאות עין גדי,812,18,Ein Gedi Baths,One and a half minutes
כפר ויתקין,605,27,Kfar Vitkin,One and a half minutes
אתר ההנצחה גולני,155,7,Golani Memorial Site,One minute
אבן שמואל,15,22,Even Shmuel,30 Seconds
שאר ישוב,1191,30,Shear Yeshuv,Immediately
נאות סמדר,843,29,Neot Smadar,One and a half minutes
באקה אל גרבייה,156,13,bqa al-Gharbiyye,One and a half minutes
הבונים,382,14,HaBonim,One minute
נתיב הל''ה,931,24,Netiv HaLamed-Heh,One and a half minutes
חוות יאיר,433,10,Havat Yair,One and a half minutes
אזור תעשייה מישור אדומים,1360,17,Industrial area Mishor Edomim,One and a half minutes
גבעת חיים איחוד,298,27,Givat Haim (Ihud),One and a half minutes
נוקדים,876,17,Nokdim,One and a half minutes
בית חנן,198,12,Beit Hanan,One and a half minutes
גלגל,330,3,Gilgal,One and a half minutes
קריית עקרון,1128,12,Kiryat Ekron,One and a half minutes
בתי מלון ים המלח,272,18,Dead Sea Hotels,One and a half minutes
מרכז שפירא,816,22,Merkaz Shapira,45 Seconds
תלמי אלעזר,1290,15,Talmei Elazar,One and a half minutes
חצור,467,22,Hatzor,45 Seconds
רמות מנשה,1170,13,Ramot Menashe,One and a half minutes
בית צבי,223,14,Beit Zvi,One minute
נתיב העשרה,932,26,Netiv HaAssara,15 Seconds
לכיש,684,22,Lakhish,45 Seconds
בית גוברין,182,24,Beit Guvrin,One minute
עידן,976,29,Idan,One and a half minutes
אזור תעשייה רמת דלתון,73,30,Ramat Dalton Industrial Zone,Immediately
יחיעם,516,30,Yechiam,15 Seconds
אליפלט,116,6,Elifelet,30 Seconds
רחובות,1157,12,Rehovot,One and a half minutes
נחליאל,882,10,Nachliel,One and a half minutes
גדעונה,314,34,Gidona,One minute
חצרים,469,25,Hatzerim,One minute
היוגב,391,34,HaYogev,One minute
עמנואל,1028,10,Immanuel,One and a half minutes
שריגים - ליאון,1266,24,Srigim (Li-On),One minute
סעד,950,26,Sa'ad,15 Seconds
בית אל,176,10,Beit El,One and a half minutes
מעיין ברוך,775,30,Ma'ayan Baruch,Immediately
רמת רזיאל,1182,24,Ramat Raziel,One and a half minutes
תדהר,1272,16,Tidhar,30 Seconds
שילת,1239,21,Shilat,One and a half minutes
חולון,439,8,Holon,One and a half minutes
אזור,42,8,Azor,One and a half minutes
רותם,1155,3,Rotem,One and a half minutes
אזור תעשייה טירה,53,27,Tira Industrial Area,One and a half minutes
בית חלקיה,197,22,Beit Hilkia,One minute
לטרון,682,24,Latrun,One and a half minutes
ג'ש (גוש חלב),277,30,Jish (Gush Halav),Immediately
קיסריה,1109,15,Caesarea,One and a half minutes
פקיעין,1066,30,Peki'in,15 Seconds
סינמה סיטי גלילות,1379,8,Cinema City Glilot,One and a half minutes
עטרת,975,10,Atteret,One and a half minutes
כינרת קבוצה,565,7,Kvutzat Kinneret,One minute
מעלה גמלא,781,5,Ma'aleh Gamla,15 Seconds
כרם שלום,661,26,Kerem Shalom,15 Seconds
כפר כנא,625,34,Kfar Kana,One minute
אזור תעשייה אלון התבור,1362,34,Industrial area Alon Hatovor,One minute
כלנית,571,23,Kalanit,One minute
שדה אליהו,1200,4,Sdeh Eliyahu,One minute
עין ורד,995,27,Ein Vered,One and a half minutes
יפעת,532,34,Ifat,One minute
מאיר שפיה,689,14,Meir Shfeya,One minute
משואה,821,3,Masua,One and a half minutes
באר טוביה,159,22,Be'er Tuvia,45 Seconds
מגן,710,26,Magen,15 Seconds
כעביה,577,34,Ka'abiyye,One minute
שערי תקווה,1258,27,Sha'arei Tikva,One and a half minutes
חורפיש,447,30,Hurfeish,Immediately
קריית גת,1120,22,Kiryat Gat,45 Seconds
קדמת צבי,1100,5,Kidmat Zvi,15 Seconds
חמדת,457,3,Hemdat,One and a half minutes
בועיינה-נוג'ידאת,166,23,Bu'eine Nujeidat,One minute
ורדון,411,22,Vardon,45 Seconds
אזור תעשייה חבל מודיעין,1361,21,Industrial area Hevel Modi'in,One and a half minutes
ארז,140,26,Erez,15 Seconds
גבעת חיים מאוחד,299,27,Givat Haim (Meuhad),One and a half minutes
מנוף,754,23,Manof,One minute
בית חשמונאי,201,12,Beit Hashmonai,One and a half minutes
שומרת,1227,6,Shomrat,30 Seconds
נהלל,850,34,Nahalal,One minute
עג'ר,958,30,Ghajar,Immediately
גברעם,311,26,Gvaram,15 Seconds
מי עמי,740,13,Mei Ami,One and a half minutes
גבעות בר,288,25,Giv'ot Bar,45 Seconds
נווה חריף,862,29,Neveh Harif,One and a half minutes
מרכז אזורי משגב,813,23,Misgav Regional Center,One minute
משגב עם,819,30,Misgav Am,Immediately
רימונים,1163,10,Rimonim,One and a half minutes
יעף,527,27,Ya'af,One and a half minutes
עמיקם,1026,15,Amikam,One and a half minutes
כרמיה,666,26,Karmia,15 Seconds
קצר-א-סיר,1115,9,Qasr al-Sir,One and a half minutes
אילניה,92,34,Ilania,One minute
שובל,1224,25,Shoval,45 Seconds
רגבה,1146,6,Regba,30 Seconds
גבעת חביבה,297,15,Givat Haviva,One and a half minutes
גבעת ברנר,292,22,Givat Brenner,One and a half minutes
כרם ביבנה,658,22,Kerem BeYavne,One minute
אזור תעשייה ברוש,48,24,Brosh Industrial Zone,One and a half minutes
מעלה לבונה,784,10,Ma'aleh Levona,One and a half minutes
חוסנייה,443,23,Hussniyya,One minute
שלומית,1244,26,Shlomit,30 Seconds
חלמיש (נווה צוף),453,10,Halamish,One and a half minutes
נשר,929,15,Nesher,One minute
גבעת חן,300,27,Givat Hen,One and a half minutes
בקעות,254,3,Beka'ot,One and a half minutes
משמרות,831,15,Mishmarot,One and a half minutes
גבעת עדה,305,15,Givat Ada,One and a half minutes
תלם,1288,17,Telem,One and a half minutes
מכמנים,403,6,Mikhmanim,30 Seconds
נטף,893,24,Nataf,One and a half minutes
כפר פינס,644,15,Kfar Pinnes,One and a half minutes
אילות,91,1,Eilot,30 Seconds
בר יוחאי,256,6,Bar Yochai,30 Seconds
גבולות,282,16,Gvulot,30 Seconds
בן עמי,235,30,Ben Ami,Immediately
אשקלון,6037,19,Ashkelon - North,30 Seconds
מנשית זבדה,759,34,Manshiya Zabda,One minute
מבוא חמה,693,5,Mevo Hama,15 Seconds
סער,951,30,Sa'ar,Immediately
גשור,354,5,Gshur,15 Seconds
בסמ\ה,1321,13,Basma,One and a half minutes
גלעד,331,13,Gal'ed (Even Itzhak),One and a half minutes
כפר אביב,579,22,Kfar Aviv,One minute
רמות נפתלי,1171,30,Ramot Naftali,Immediately
אבו סנאן,3,6,Abu Snan,30 Seconds
שמיר,1246,30,Shamir,15 Seconds
מעלה צביה,788,23,Ma'aleh Zvia,One minute
כרמל,669,17,Carmel,One and a half minutes
עין קנייא,1008,2,Ein Quiniyye,Immediately
תקומה וחוות יזרעם,1303,26,Tkuma and Havat Izra'am,15 Seconds
סאג'ור,935,6,Sajur,30 Seconds
עילבון,978,23,Eilabun,One minute
ינון,522,22,Yinon,One minute
בית נקופה,211,24,Beit Nekofa,One and a half minutes
אלישיב,118,27,Elyashiv,One and a half minutes
העוגן,397,27,HaOgen,One and a half minutes
חמדיה,456,4,Hamadia,One minute
תל יצחק,1281,27,Tel Itzhak,One and a half minutes
יגל,501,12,Yagel,One and a half minutes
חגלה,430,27,Hogla,One and a half minutes
נוגה,853,22,Noga,30 Seconds
יקנעם המושבה,538,13,Yokneam Moshava,One and a half minutes
הר הנגב,1376,9,Har Ha'Negev,One and a half minutes
אל עמארני,1381,29,El-Amrana,One and a half minutes
כפר הנגיד,599,22,Kfar HaNagid,One minute
אבנת,18,18,Avnat,One and a half minutes
אחיסמך,85,12,Ahisemech,One and a half minutes
גן שמואל,341,15,Gan Shmuel,One and a half minutes
חולתה,441,6,Hulata,30 Seconds
ניר עקיבא,911,16,Nir Akiva,30 Seconds
שתולים,1270,22,Shtulim,45 Seconds
הר גילה,401,17,Har Gilo,One and a half minutes
קריית אונו,1118,8,Kiryat Ono,One and a half minutes
חפציבה,1308,4,Heftziba and Beit Alfa,One minute
ברכיה,261,19,Berekhya,30 Seconds
שעב,1251,23,Sha'ab,One minute
ראמה,1135,6,Rama,30 Seconds
